"","s1"
"1356",224513.086192196
"1357",144184.608390735
"1358",132141.438363454
"1359",169413.785899036
"1360",127118.302157243
"1361",114934.429773127
"1362",196367.87164831
"1363",304447.507290906
"1364",160981.569689359
"1365",146167.293025787
"1366",131376.89032998
"1367",133871.55042646
"1368",204827.09532764
"1369",242793.87976081
"1370",224808.627531561
"1371",181711.468614353
"1372",227175.146584514
"1373",262705.440075949
"1374",203934.85105076
"1375",213501.674062723
"1376",186363.90976665
"1377",170881.870892023
"1378",144683.673836327
"1379",175240.027341463
"1380",194520.335121208
"1381",192849.750577175
"1382",223233.49981082
"1383",143847.376835294
"1384",180600.16349723
"1385",124067.377332287
"1386",195364.001367666
"1387",197178.120074915
"1388",219985.943395133
"1389",199014.92817478
"1390",284379.985882467
"1391",224380.341308317
"1392",236140.36725404
"1393",230216.88118101
"1394",147621.024818606
"1395",204546.002333362
"1396",192951.158154263
"1397",185820.652109058
"1398",202059.030565335
"1399",119349.429475705
"1400",132101.099196009
"1401",120157.310103536
"1402",205579.494253054
"1403",127502.728425143
"1404",232565.075750354
"1405",156347.110543859
"1406",184724.508128151
"1407",96921.9443703614
"1408",112030.871598686
"1409",108025.032427741
"1410",128534.674612334
"1411",87217.5522264297
"1412",57039.4062483196
"1413",103104.570799527
"1414",123110.264467719
"1415",130136.082483034
"1416",178763.365742863
"1417",125923.681832757
"1418",155234.440598572
"1419",125474.650545008
"1420",100282.185835523
"1421",127169.240532011
"1422",132591.399679108
"1423",173137.854373335
"1424",199995.939765042
"1425",162381.18255207
"1426",196805.81071234
"1427",112085.526725479
"1428",133235.536673851
"1429",69880.5183657526
"1430",83953.4100154138
"1431",131826.23187825
"1432",72336.3620469709
"1433",104198.002173729
"1434",69410.4385151788
"1435",264972.960498183
"1436",246321.225824479
"1437",194986.544759974
"1438",164534.082498109
"1439",211853.605819707
"1440",165283.320895345
"1441",191035.710452811
"1442",178896.097978529
"1443",322668.846331373
"1444",333217.415469333
"1445",79552.8245398244
"1446",226160.8239077
"1447",125370.991884182
"1448",129467.912558944
"1449",153656.005551982
"1450",89738.6920136472
"1451",94798.3344470531
"1452",145685.942222107
"1453",99390.6660419591
"1454",90388.757358519
"1455",99085.2303398025
"1456",100661.249360897
"1457",176349.723216142
"1458",114111.260597993
"1459",236797.515399336
